"Question","Answer","Source Document"
"Is UK Bank Interest often shown gross with 20% tax deducted?","Yes","A guide to your tax voucher (6600)"
"Does Quilter provide schedules breaking down figures like net rebates and tax deducted?","Yes","A guide to your tax voucher (6600)"
"Should you report UK dividend distributions as ""Other dividends"" on a tax return?","Yes","A guide to your tax voucher (6600)"
"Can you reclaim tax deducted at source if no further tax is due?","Yes","A guide to your tax voucher (6600)"
"Does the voucher cover income from CashHub savings accounts if applicable?","Yes","A guide to your tax voucher (6600)"
"Is a tax voucher sent for Collective Investment Accounts where income was received?","Yes","A guide to your tax voucher (6600)"
"Are overseas income details shown with net amount and any overseas tax deducted?","Yes","A guide to your tax voucher (6600)"
"Does Quilter deduct basic rate tax on interest distributions?","Yes","A guide to your tax voucher (6600)"
"Should you consult a financial adviser or accountant to complete your tax return using the voucher?","Yes","A guide to your tax voucher (6600)"
"Is the contact number for Quilter 0808 171 2626?","Yes","A guide to your tax voucher (6600)"
"Does a flexible ISA allow withdrawal and replacement of funds within the same tax year without affecting the annual ISA allowance?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is the annual ISA allowance £20,000?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Can you invest early in the tax year and access funds in emergencies with a flexible ISA?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Do funds in an ISA grow tax-free?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Are not all ISAs flexible?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Can you choose withdrawal and contribution dates from 1–28 of the month with Quilter's flexible ISA?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is there a Family Linking discount for lower effective charges when linking assets with family members?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Can the value of investments in an ISA go down as well as up?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is the flexible ISA offered through Quilter Investment Platform Limited?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is the case study in the flyer fictional and for illustrative purposes only?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Does a traditional ISA allow withdrawal and replacement within the same tax year without affecting the allowance?","No","Discover the freedom of flexible ISAs (qip23731)"
"Does a flexible ISA provide confidence to invest early while maintaining access?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Can you replenish withdrawn funds later in the same tax year?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is Quilter authorised and regulated by the Financial Conduct Authority?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Are calls and electronic communications with Quilter may be recorded?","Yes","Discover the freedom of flexible ISAs (qip23731)"
"Is the Collective Investment Account (CIA) a flexible method of investing for medium to long term growth?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA offer no particular tax advantages?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can the CIA hold around 2,600 unit trusts and OEICs?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA available to individuals aged 18–95?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA not available to US citizens or US residents for tax purposes?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can you make lump sum or regular investments into the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA allow access to over 800 ETFs and ETCs?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can investments in the CIA be managed online via the Customer Centre or app?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is there a 30-day cancellation right for the CIA after acceptance notification?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can the value of investments in the CIA fall as well as rise?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is there no guarantee you will get back the original amount invested?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"May sales within the CIA trigger capital gains tax?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are dividends received gross in the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is interest on cash in the CIA paid net after basic rate tax deduction?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can you make withdrawals from the CIA at any time?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the maximum withdrawal per request normally 95%?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA account value form part of your estate for inheritance tax on death?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is there a minimum regular withdrawal of £25?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can you transfer assets out of the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does Quilter provide the platform for holding and managing investments in the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are there dealing charges for ETFs, ETCs, and investment trusts?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is there no administrative charge for switching unit trusts/OEICs (though this may change)?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can Irish residents invest in Irish-domiciled funds in the CIA?","No","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA suitable if you have used up your ISA allowance and want to invest larger amounts?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA include a cash facility with interest calculated daily?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are charges detailed in a personalised Key Features Illustration?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can you hold an offshore bond or trust within the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the FSCS protection up to £85,000 per investor?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Must you accept investment risk to use the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are withdrawals paid within 10 working days after sales, less charges?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does Quilter deduct charges from the account?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can joint accounts pass to the survivor on death?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA not suitable if you have no other savings?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can you phase investments into assets over time?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are tax rules subject to change?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does Quilter send an annual consolidated tax voucher for the CIA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can income distributions be reinvested, held as cash, or paid to a bank?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is there Stamp Duty Reserve Tax on investment trusts?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Does Quilter act as Portfolio Manager for the Managed Portfolio Service?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Are complex assets available on an advised basis only?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Can fund suspensions occur in poor markets?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA available in the UK, Isle of Man, Guernsey, or Jersey?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Do you have 30 days to cancel top-up investments?","No","Collective Investment Account KFD (18179_cia_kfd)"
"Should you monitor performance regularly?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
"Is Quilter part of Quilter plc and regulated by the FCA?","Yes","Collective Investment Account KFD (18179_cia_kfd)"
