"Question","Answer","Source Document"
"What is the trading name used by Quilter Investment Platform Limited for these accounts?","Quilter is the trading name of Quilter Investment Platform Limited.","A guide to your tax voucher (6600)"
"Where can customers find the full HMRC self-assessment tax return guide?","The HMRC tax return guide (form SA150) is available at www.hmrc.gov.uk/selfassessmentforms.","A guide to your tax voucher (6600)"
"What key advantage does a flexible ISA provide compared with a non-flexible ISA regarding withdrawals?","A flexible ISA allows withdrawal and replacement of funds within the same tax year without affecting the annual ISA allowance, whereas a traditional ISA does not.","Discover the freedom of flexible ISAs (qip23731)"
"What is the current annual ISA allowance referenced in the flyer?","The annual ISA allowance is £20,000.","Discover the freedom of flexible ISAs (qip23731)"
"How does the flexible ISA help with unpredictable life events such as needing to downsize a home?","The flexible ISA gives confidence to invest early in the tax year and still access funds in emergencies, knowing they can be replenished later in the same tax year without losing the allowance.","Discover the freedom of flexible ISAs (qip23731)"
"What discount is available when linking assets with family members in a Quilter flexible ISA?","There is a Family Linking discount that results in a lower effective charge for every person linked.","Discover the freedom of flexible ISAs (qip23731)"
"Can customers choose specific dates each month for withdrawals and contributions in Quilter’s flexible ISA?","Yes, customers can choose withdrawal and contribution dates from the 1st to the 28th of the month.","Discover the freedom of flexible ISAs (qip23731)"
"Are all ISAs offered by providers flexible?","Not all ISAs are flexible.","Discover the freedom of flexible ISAs (qip23731)"
"What risk warning is given about the value of investments in a flexible ISA?","The value of your investments can go down as well as up, and you may not get back what you put in.","Discover the freedom of flexible ISAs (qip23731)"
"Is the case study about Diane and her husband a real customer story?","The case study is fictional and used for illustrative purposes only.","Discover the freedom of flexible ISAs (qip23731)"
"Through which legal entity is the flexible ISA provided?","The flexible ISA is offered through Quilter Investment Platform Limited.","Discover the freedom of flexible ISAs (qip23731)"
"What regulatory body authorises and regulates Quilter Investment Platform Limited?","Quilter Investment Platform Limited is authorised and regulated by the Financial Conduct Authority (register number 165359).","Discover the freedom of flexible ISAs (qip23731)"
"Can calls and electronic communications with Quilter be recorded?","Calls and electronic communications with Quilter may be recorded for monitoring, regulatory and training purposes.","Discover the freedom of flexible ISAs (qip23731)"
"What is the registered office address of Quilter Investment Platform Limited?","The registered office is Senator House, 85 Queen Victoria Street, London, EC4V 4AB, United Kingdom.","Discover the freedom of flexible ISAs (qip23731)"
"What is the company registration number of Quilter Investment Platform Limited?","Quilter Investment Platform Limited is registered in England and Wales under number 1680071.","Discover the freedom of flexible ISAs (qip23731)"
"In the illustrative case study, how much was withdrawn and later replenished without affecting the ISA allowance?","£60,000 was withdrawn and later replenished within the same tax year without affecting the annual ISA allowance.","Discover the freedom of flexible ISAs (qip23731)"
"Does the flexible ISA help customers make the most of tax-free savings while maintaining access?","Yes, the flexible ISA allows you to make the most of tax-free savings while still having access to your money when needed.","Discover the freedom of flexible ISAs (qip23731)"
"What phrase does the flyer use to describe the benefit of flexibility in unpredictable life situations?","“Discover the freedom of flexible ISAs” and “our flexible ISA adapts to your needs”.","Discover the freedom of flexible ISAs (qip23731)"
"Is the flexible ISA suitable for someone who wants to invest early but keep emergency access?","Yes, the flexible ISA offers confidence to invest early in the tax year while maintaining access to funds in emergencies.","Discover the freedom of flexible ISAs (qip23731)"
"What VAT number is associated with Quilter Investment Platform Limited?","The VAT number is 386 1301 59.","Discover the freedom of flexible ISAs (qip23731)"
"How long are call recordings kept by Quilter?","Records are available for at least five years.","Discover the freedom of flexible ISAs (qip23731)"
"What is the document code printed on the flexible ISA flyer?","The document code is QIP 23731/165/11509/June 2025.","Discover the freedom of flexible ISAs (qip23731)"
"Does the flyer state that life can be unpredictable?","Yes, the flyer states “At Quilter, we understand that life can be unpredictable”.","Discover the freedom of flexible ISAs (qip23731)"
"Is the flexible ISA described as giving peace of mind?","Yes, the flexible ISA offers “the peace of mind that comes with knowing your investments are flexible and secure”.","Discover the freedom of flexible ISAs (qip23731)"
"Can a customer contact a financial adviser to open a Quilter flexible ISA?","Yes, contact your financial adviser to open an account today.","Discover the freedom of flexible ISAs (qip23731)"
"What website is recommended for more information on the flexible ISA?","Visit quilter.com for more information.","Discover the freedom of flexible ISAs (qip23731)"
"Is the flexible ISA provided by Quilter Investment Platform Limited or another Quilter entity?","The flexible ISA is provided by Quilter Investment Platform Limited.","Discover the freedom of flexible ISAs (qip23731)"
"What is the primary purpose of the Collective Investment Account (CIA)?","The Collective Investment Account (CIA) is a flexible method of investing money with potential for growth over the medium to long term.","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA offer any special tax advantages?","The CIA does not have any particular tax advantages.","Collective Investment Account KFD (18179_cia_kfd)"
"Approximately how many unit trusts and OEICs can be held in the CIA?","The CIA can hold around 2,600 unit trusts and OEICs from over 180 fund management groups.","Collective Investment Account KFD (18179_cia_kfd)"
"What is the age range for individual investors in the CIA?","The CIA is available to individuals aged 18–95.","Collective Investment Account KFD (18179_cia_kfd)"
"Can US citizens or US tax residents open a CIA?","The CIA is not available to US citizens or US residents for tax purposes.","Collective Investment Account KFD (18179_cia_kfd)"
"Is there a maximum amount that can be invested in the CIA?","There is no limit on the amount that can be invested in the CIA.","Collective Investment Account KFD (18179_cia_kfd)"
"What cash facility is included within the CIA?","The CIA includes a facility to hold interest-paying cash, with interest calculated daily and paid on the first working day of each month.","Collective Investment Account KFD (18179_cia_kfd)"
"How long is the cancellation period for a new CIA after acceptance?","There is a 30-day cancellation right after acceptance notification and documentation.","Collective Investment Account KFD (18179_cia_kfd)"
"What is the maximum percentage that can normally be withdrawn in a single request from the CIA?","The maximum withdrawal per request is normally 95% of the account or individual asset.","Collective Investment Account KFD (18179_cia_kfd)"
"What is the minimum amount for regular withdrawals from the CIA?","The minimum regular withdrawal is £25.","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA account value form part of the investor’s estate for inheritance tax?","Yes, the CIA account value may form part of your estate for inheritance tax purposes on death.","Collective Investment Account KFD (18179_cia_kfd)"
"Are dividends received in the CIA paid gross or net?","Dividends received in the CIA are received gross.","Collective Investment Account KFD (18179_cia_kfd)"
"Is interest on cash within the CIA paid net of basic rate tax?","Interest on cash in the CIA is paid net after basic rate tax deduction (except for non-UK residents).","Collective Investment Account KFD (18179_cia_kfd)"
"Within how many working days are withdrawal payments normally made after sales?","Withdrawals are paid within 10 working days after sales, less any charges.","Collective Investment Account KFD (18179_cia_kfd)"
"What FSCS protection limit applies to cash held with Quilter in the CIA?","FSCS protection is up to £85,000 per investor for Quilter liabilities.","Collective Investment Account KFD (18179_cia_kfd)"
"Can Irish residents invest in Irish-domiciled funds through the CIA?","Irish residents cannot invest in Irish-domiciled funds in the CIA.","Collective Investment Account KFD (18179_cia_kfd)"
"Is there currently an administrative charge for switching between unit trusts or OEICs in the CIA?","There is currently no administrative charge for switching unit trusts/OEICs (though this may change in future).","Collective Investment Account KFD (18179_cia_kfd)"
"Does Quilter send an annual consolidated tax voucher for the CIA?","Quilter sends an annual consolidated tax voucher for income (rebates, dividends and interest) and tax deducted in the CIA.","Collective Investment Account KFD (18179_cia_kfd)"
"What options exist for income distributions received in the CIA?","Income distributions can be reinvested, held as cash, or paid directly to a bank account.","Collective Investment Account KFD (18179_cia_kfd)"
"Is the CIA suitable for someone who has already used their full ISA allowance?","Yes, the CIA is suitable if you have used up your ISA allowance and want to invest larger amounts.","Collective Investment Account KFD (18179_cia_kfd)"
"Can a joint CIA account automatically pass to the surviving holder on the first death?","Yes, on the death of one holder of a joint account, the surviving holder becomes the sole owner.","Collective Investment Account KFD (18179_cia_kfd)"
"What is the minimum age and residency requirement for individuals to open a CIA?","Individuals must be aged 18–95 and resident in the UK, Isle of Man, Guernsey or Jersey.","Collective Investment Account KFD (18179_cia_kfd)"
"Does the CIA allow holdings of offshore bonds or trusts?","Yes, assets can be held directly or within an offshore bond or trust.","Collective Investment Account KFD (18179_cia_kfd)"
"What risk warning is repeatedly emphasised about investments in the CIA?","The value of investments and any income from them can fall as well as rise and you may not get back the amount you originally invested.","Collective Investment Account KFD (18179_cia_kfd)"
"Which company provides and manages the platform for the Collective Investment Account?","Quilter Investment Platform Limited (trading as Quilter) provides the platform for holding and managing investments in the CIA and is authorised and regulated by the Financial Conduct Authority (Firm Reference 165359).","Collective Investment Account KFD (18179_cia_kfd)"
